asiento,fecha,linea,cuentadebe,cuentahaber,comentario,importe,observaciones,tipo,apertura,inumexp,inumexh,inumigu,inumvar,iyear,importeeuro,codsubusu,asiver,documento,porimpuesto,porrecargo,contrapartida,baseimp,numfactura,serie,tipofact,icodcli,tipoBs,ctahonorario,punteo,bcobroremesa,idremesa,ccaja,itipocp,ffactura,formacp,cuentacp,fechaAbonada,refabonada,icodEmisor,cn,iprorrata,ilineapro,porpro,importepro,cuentapro,importetot,exportado,idtipofact,idtiporect,porproD,modelos,partidaRegul,id,clavemod349,idPago,esAgrupado,idconfigemisor,clavemod190,subclavemod190,incapacidadlaboral,idClaseFactura,area
17,2012-12-01 00:00:00,1,4300000000,,Factura:M1 ADESLAS,14974.0000,,D,,,,,,,90.0000,0,17,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
17,2012-12-01 00:00:00,2,,7050000000,Factura:M1 ADESLAS,14975.0000,,H,,,,,,,90.0000,0,17,,,,4300000000,,1,M,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
17,2012-12-01 00:00:00,3,,4770000007,Factura:M1 ADESLAS,0.0000,,H,,,,,,,0.0000,0,17,,0.0000,0.0000,4300000000,90.0000,1,M,V,41, ,7050000000,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
18,2012-12-05 00:00:00,1,5720000000,,Cobro Factura: M/1,14975.0000,,D,,,,,,,90.0000,0,18,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
18,2012-12-05 00:00:00,2,,4300000000,Cobro Factura: M/1,14975.0000,,H,,,,,,,90.0000,0,18,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
19,2012-11-13 00:00:00,1,4300000000,,Factura:1 ALEJANDRO GARCIA GARCIA,16639.0000,,D,,,,,,,100.0000,0,19,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
19,2012-11-13 00:00:00,2,,7050000000,Factura:1 ALEJANDRO GARCIA GARCIA,16639.0000,,H,,,,,,,100.0000,0,19,,,,4300000000,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
19,2012-11-13 00:00:00,3,,4770000007,Factura:1 ALEJANDRO GARCIA GARCIA,0.0000,,H,,,,,,,0.0000,0,19,,0.0000,0.0000,4300000000,100.0000,1,,V,1,C,7050000000,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
20,2012-11-13 00:00:00,1,5700000000,,Cobro Factura: 1,16639.0000,,D,,,,,,,100.0000,0,20,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
20,2012-11-13 00:00:00,2,,4300000000,Cobro Factura: 1,16639.0000,,H,,,,,,,100.0000,0,20,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
