id,tabla,idEstado,idAct,fInicio,ffin,tiempo,usuario
1,2,1,234,2021-05-28 09:46:00.683000,2021-05-28 09:52:01.963000,361,ALEJANDRA GARCÍA
2,2,1,235,2021-05-28 09:46:01.163000,,0,ALEJANDRA GARCÍA
3,2,1,236,2021-05-28 09:46:01.583000,,0,ALEJANDRA GARCÍA
4,2,1,237,2021-05-28 09:46:02.087000,,0,ALEJANDRA GARCÍA
5,2,1,238,2021-05-28 09:46:02.563000,,0,ALEJANDRA GARCÍA
6,2,1,239,2021-05-28 09:46:02.980000,,0,ALEJANDRA GARCÍA
7,2,1,240,2021-05-28 09:46:03.450000,,0,ALEJANDRA GARCÍA
8,2,1,241,2021-05-28 09:46:04.090000,,0,ALEJANDRA GARCÍA
9,2,1,242,2021-05-28 09:46:04.750000,,0,ALEJANDRA GARCÍA
10,2,1,243,2021-05-28 09:46:05.143000,,0,ALEJANDRA GARCÍA
11,2,1,244,2021-05-28 09:46:05.650000,,0,ALEJANDRA GARCÍA
12,2,1,245,2021-05-28 09:46:06.103000,,0,ALEJANDRA GARCÍA
13,2,6,234,2021-05-28 09:52:01.963000,2021-06-21 16:44:32.627000,2098350,ALEJANDRA GARCÍA
14,2,5,1222,2021-06-18 12:51:04.363000,,0,JUAN CARLOS
15,2,3,384,2021-06-21 16:40:28.263000,2021-06-21 16:42:28.273000,120,DESPACHO
16,2,4,1353,2021-06-21 16:40:33.823000,,0,DESPACHO
17,2,1,497,2021-06-21 16:40:44.430000,,0,DESPACHO
18,2,1,548,2021-06-21 16:40:45.173000,,0,DESPACHO
19,2,1,307,2021-06-21 16:40:46.077000,,0,DESPACHO
20,2,1,428,2021-06-21 16:40:46.880000,2021-06-21 16:42:19.700000,92,DESPACHO
21,2,1,96,2021-06-21 16:40:47.747000,2021-06-21 16:42:20.440000,92,DESPACHO
22,2,2,327,2021-06-21 16:41:26.343000,,0,DESPACHO
23,2,2,60,2021-06-21 16:41:27.327000,,0,DESPACHO
24,2,3,106,2021-06-21 16:41:35.690000,,0,DESPACHO
25,2,3,107,2021-06-21 16:41:36.823000,,0,DESPACHO
26,2,6,128,2021-06-21 16:41:44.157000,,0,DESPACHO
27,2,6,24,2021-06-21 16:41:45.213000,2021-06-21 16:44:36.300000,171,DESPACHO
28,2,2,73,2021-06-21 16:41:54.480000,,0,DESPACHO
29,2,2,337,2021-06-21 16:41:55.603000,,0,DESPACHO
30,2,2,99,2021-06-21 16:42:06.600000,,0,DESPACHO
31,2,2,97,2021-06-21 16:42:07.450000,,0,DESPACHO
32,2,2,454,2021-06-21 16:42:08.283000,,0,DESPACHO
33,2,2,446,2021-06-21 16:42:09.020000,,0,DESPACHO
