nrecibo,yearfact,flibramiento,fvencimiento,nombre,nif,domicilio,poblacion,codpostal,cuentabanco,importe,numfactura,concepto,remesar,codsubusu,icodcli,tipologia1,tipologia2,tipologia3,serie,idprevcobros,bproformarel,inumproformarel,yearproformarel,codsubusuproformarel,tipoproformarel,IBAN,BicSwift,fmandato,nmandato,tadeudo,idcentros,nombreComercial
21/23/1,2021,2021-01-01 00:00:00,2021-01-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,23,Consulta,1,0,8,,,,,227,0,,,,,,,,,RCUR,,
21/3/1,0,2021-12-01 00:00:00,2021-12-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,181,0,,,,,,,,,RCUR,,
21/3/10,0,2021-03-01 00:00:00,2021-03-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,218,0,,,,,,,,,RCUR,,
21/3/2,0,2021-11-01 00:00:00,2021-11-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,185,0,,,,,,,,,RCUR,,
21/3/3,0,2021-10-01 00:00:00,2021-10-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,189,0,,,,,,,,,RCUR,,
21/3/6,0,2021-07-01 00:00:00,2021-07-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,201,0,,,,,,,,,RCUR,,
21/3/7,0,2021-06-01 00:00:00,2021-06-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,205,0,,,,,,,,,RCUR,,
21/3/8,0,2021-05-01 00:00:00,2021-05-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,,Consulta,1,0,8,,,,,209,0,,,,,,,,,RCUR,,
21/35/1,2021,2021-02-01 00:00:00,2021-02-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,35,Consulta,1,0,8,,,,,222,0,,,,,,,,,RCUR,,
21/38/1,2021,2021-04-01 00:00:00,2021-04-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,38,Consulta,1,0,8,,,,,214,0,,,,,,,,,RCUR,,
21/42/1,2021,2021-08-01 00:00:00,2021-08-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,42,Consulta,1,0,8,,,,,197,0,,,,,,,,,RCUR,,
21/45/1,2021,2021-09-01 00:00:00,2021-09-01 00:00:00,TRANSPORTES ALTDIR,32165498-K,POLIGONO DE LA FUENTE SECTOR C Nº 23,MADRID,28000,99999999509999999999,250.0000,45,Consulta,1,0,8,,,,,193,0,,,,,,,,,RCUR,,
21/52/1,2021,2021-12-07 00:00:00,2021-12-07 00:00:00,EMPRESA FERNANDEZ S.L.,87458985-J,C/ BERTAMIRANS Nº 36 BAJO,SANTIAGO DE COMPOSTELA,15005,44444444104444444444,50.0000,52,Pago Recibo: 12/4/1,1,0,7,,,,,234,0,,,,,,,,,RCUR,,
