id,icodcli,campo,valor
3,1798,comboMulti14,
4,1799,comboMulti14,
5,1800,comboMulti14,
6,1801,comboMulti14,
7,1832,comboMulti14,
8,1833,comboMulti14,
10,1851,comboMulti14,
11,1864,comboMulti14,
12,1834,comboMulti14,
13,1868,comboMulti14,
14,1853,comboMulti14,
15,1880,comboMulti14,
16,1901,comboMulti14,
17,1904,comboMulti14,
18,1907,comboMulti14,
19,1916,comboMulti14,
20,1919,comboMulti14,
21,1923,comboMulti14,
22,1928,comboMulti14,
23,1929,comboMulti14,
24,1930,comboMulti14,
25,1931,comboMulti14,
26,1932,comboMulti14,
27,1933,comboMulti14,
28,1890,comboMulti14,
29,1934,comboMulti14,
30,1921,comboMulti14,
31,1949,comboMulti14,
32,1950,comboMulti14,
34,1953,comboMulti14,
35,1955,comboMulti14,
36,1956,comboMulti14,
37,1958,comboMulti14,
38,1961,comboMulti14,
39,1963,comboMulti14,
41,1968,comboMulti14,
42,1969,comboMulti14,
43,1970,comboMulti14,
44,1967,comboMulti14,
45,1975,comboMulti14,
46,1976,comboMulti14,
47,1980,comboMulti14,
48,1984,comboMulti14,
49,1985,comboMulti14,
50,1989,comboMulti14,
51,1990,comboMulti14,
52,1991,comboMulti14,
53,2006,comboMulti14,
54,2007,comboMulti14,
55,2020,comboMulti14,
56,2036,comboMulti14,
57,2047,comboMulti14,
58,2056,comboMulti14,
59,2068,comboMulti14,
60,2069,comboMulti14,
61,2070,comboMulti14,
62,2094,comboMulti14,
63,2095,comboMulti14,
64,2098,comboMulti14,
65,2099,comboMulti14,
66,2100,comboMulti14,
68,2105,comboMulti14,
70,2103,comboMulti14,
71,2125,comboMulti14,
72,2126,comboMulti14,
73,2127,comboMulti14,
74,2132,comboMulti14,
75,2141,comboMulti14,
76,2144,comboMulti14,
77,2145,comboMulti14,
78,2146,comboMulti14,
79,2148,comboMulti14,
80,2149,comboMulti14,
81,2152,comboMulti14,
82,2153,comboMulti14,
83,2161,comboMulti14,
84,2163,comboMulti14,
85,2167,comboMulti14,
86,2172,comboMulti14,
87,2187,comboMulti14,
88,2165,comboMulti14,
89,2188,comboMulti14,
90,2191,comboMulti14,
91,2195,comboMulti14,
92,2203,comboMulti14,
93,2207,comboMulti14,
94,2210,comboMulti14,
95,2216,comboMulti14,
96,2235,comboMulti14,
97,2240,comboMulti14,
98,2252,comboMulti14,
99,2253,comboMulti14,
100,2254,comboMulti14,
101,2255,comboMulti14,
102,2262,comboMulti14,
103,2287,comboMulti14,
104,2288,comboMulti14,
105,2289,comboMulti14,
106,2290,comboMulti14,
107,2291,comboMulti14,
108,2292,comboMulti14,
109,2295,comboMulti14,
110,2308,comboMulti14,
111,2325,comboMulti14,
112,2326,comboMulti14,
113,2339,comboMulti14,
114,2342,comboMulti14,
115,2344,comboMulti14,
116,2345,comboMulti14,
117,2346,comboMulti14,
118,2347,comboMulti14,
119,2348,comboMulti14,
120,2349,comboMulti14,
121,2350,comboMulti14,
122,2351,comboMulti14,
123,2352,comboMulti14,
124,2353,comboMulti14,
125,2354,comboMulti14,
126,2362,comboMulti14,
127,2375,comboMulti14,
128,2394,comboMulti14,
129,2395,comboMulti14,
130,2396,comboMulti14,
131,2397,comboMulti14,
132,2409,comboMulti14,
133,2413,comboMulti14,
135,2366,comboMulti14,
136,1397,comboMulti14,
137,2419,comboMulti14,
139,2421,comboMulti14,
140,2430,comboMulti14,
141,2433,comboMulti14,
142,2435,comboMulti14,
143,2436,comboMulti14,
144,2442,comboMulti14,
145,2446,comboMulti14,
146,2447,comboMulti14,
147,2448,comboMulti14,
148,2456,comboMulti14,
149,2460,comboMulti14,
150,2461,comboMulti14,
151,2463,comboMulti14,
152,2474,comboMulti14,
153,2475,comboMulti14,
154,2476,comboMulti14,
155,2477,comboMulti14,
156,2478,comboMulti14,
157,2479,comboMulti14,
158,2487,comboMulti14,
159,2501,comboMulti14,
160,2502,comboMulti14,
161,2503,comboMulti14,
162,2506,comboMulti14,
163,2507,comboMulti14,
164,2530,comboMulti14,
165,2531,comboMulti14,
166,2532,comboMulti14,
167,2540,comboMulti14,
168,2545,comboMulti14,
169,2546,comboMulti14,
170,2552,comboMulti14,
172,2554,comboMulti14,
173,2558,comboMulti14,
174,2563,comboMulti14,
175,2568,comboMulti14,
176,2574,comboMulti14,
177,2582,comboMulti14,
178,2590,comboMulti14,
179,2595,comboMulti14,
180,2601,comboMulti14,
181,2604,comboMulti14,
182,2605,comboMulti14,
183,2641,comboMulti14,
184,2646,comboMulti14,
185,2652,comboMulti14,
186,2663,comboMulti14,
187,2671,comboMulti14,
188,2677,comboMulti14,
189,2690,comboMulti14,
190,2694,comboMulti14,
191,2695,comboMulti14,
192,2696,comboMulti14,
193,2699,comboMulti14,
194,2733,comboMulti14,
195,2737,comboMulti14,
196,2738,comboMulti14,
