icodabo,snombreabo,sdomicilioabo,spoblacionabo,sprovinciaabo,scodpostalabo,snifabo,stelefonoabo,sfaxabo,smovilabo,email,pagweb,telefono2,telefono3,notas,Nacionalidad,Perso1,Perso2,Perso3,Perso4,Perso5,Perso6,Perso7,Perso8,Perso9,Perso10,PersoNum1,PersoNum2,PersoNum3,PersoNum4,PersoNum5,PersoFecha1,PersoFecha2,PersoFecha3,PersoLogic1,PersoLogic2,PersoLogic3,PersoLogic4,PersoLogic5,PersoLogic6,cuentabanco,sincronizar,numColegiado,snombreabodespacho,sNombrePais,usuario_cloud_auto,estado,balerta,textoalerta
0,LUCÍA ESTEVEZ BARREIRO,"CL/ JUANA DE VEGA, 88",MADRID,MADRID,28008,32815654-J,915-358-458,915-854-007,687-667-458,pruebas@despachoabogado.com,www.consultoriasoftware.com,915-854-007,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
1,ÓSCAR JIMENEZ LUNA,"CL/ MONFORTE, 156",MADRID,,28002,32155740-S,915-657-784,915-667-158,666-484-654,pruebas@despachoabogado.com,www.consultoriasoftware.com,915-667-158,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
2,LORENZO VELA SANZ,"AV/ DE LA LUNA, 85",LA CORUÑA,A CORUÑA,15002,33120652-P,981-289-615,981-223-954,665-154-658,pruebas@despachoabogado.com,www.consultoriasoftware.com,981-223-954,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,54546456304564545645,0,,,,True,Alta,,
3,JOSÉ MIGUEL GIL MARTÍNEZ,"CL/ MANUEL MURGUÍA, 25",MADRID,MADRID,28008,35150032-Y,912-354-013,912-303-580,668-998-784,pruebas@despachoabogado.com,www.consultoriasoftware.com,912-303-580,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
4,SORAYA TORRES VÁZQUEZ,"CL/ ROSALÍA DE CASTRO, 185 - 4º",MADRID,,28005,37007450-J,914-658-787,914-315-083,615-890-025,pruebas@despachoabogado.com,www.consultoriasoftware.com,914-315-083,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,65465456715456564565,0,,,,True,Alta,,
5,DANIEL SANZ GUTIERREZ,"CL/ BOLIVIA, 257",LA CORUÑA,A CORUÑA,15003,39121085-V,881-938-945,881-938-946,654-897-870,pruebas@despachoabogado.com,www.consultoriasoftware.com,881-938-946,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
6,BEATRIZ VÁZQUEZ SIERRA,"CL/ INDUSTRIAL, 357",MADRID,MADRID,28008,33107784-C,915-003-258,915-003-260,686-890-870,pruebas@despachoabogado.com,www.consultoriasoftware.com,915-003-260,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
7,ANTONIO RAMOS PRESEDO,"CL/ GALICIA, 121",LA CORUÑA,A CORUÑA,15011,32258485-L,981-274-890,981-277-990,616-669-954,pruebas@despachoabogado.com,www.consultoriasoftware.com,981-277-990,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,54898465025654654545,0,,,,True,Alta,,
8,MARIANO GARCÉS CARRO,"AV/ DE FINISTERRE, 185",MADRID,MADRID,28080,35840084-N,915-350-585,915-355-865,654-850-090,pruebas@despachoabogado.com,www.consultoriasoftware.com,915-355-865,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
9,EMILIA ESCOBAR CRUZ FREIRE,"CL/ DE LOS DESAMPARADOS, 111",LA CORUÑA,A CORUÑA,15011,39216584-C,981-287-812,981-287-815,655-890-784,pruebas@despachoabogado.com,www.consultoriasoftware.com,981-287-815,,NOTAS DEL ABOGADO. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL ABOGADO.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,True,Alta,,
