codcolab,snombrecol,sdomiciliocol,spoblacioncol,sprovinciacol,scodpostalcol,snifcol,stelefonocol,sfaxcol,smovilcol,telefono2,telefono3,email,pagweb,notas,Nacionalidad,Perso1,Perso2,Perso3,Perso4,Perso5,Perso6,Perso7,Perso8,Perso9,Perso10,PersoFecha1,PersoFecha2,PersoFecha3,PersoNum1,PersoNum2,PersoNum3,PersoNum4,PersoNum5,PersoLogic1,PersoLogic2,PersoLogic3,PersoLogic4,PersoLogic5,PersoLogic6,cuentabanco,sincronizar,sNombrePais,usuario_cloud_auto,estado,balerta,textoalerta
1,JAVIER GARRIDO MERINO,"CL/ DEL OLVIDO, 85 BAJO",BETANZOS,A CORUÑA,15300,33154655-V,981-289-515,981-274-710,615-548-158,981-274-710,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
2,RAQUEL SEGURA LÓPEZ,"AV. DE LAS FLORES, 14",FERROL,A CORUÑA,15405,32885007-K,981-255-487,981-255-490,615-400-854,981-255-490,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
3,PABLO RUBIO VÁZQUEZ,"UR/ LOS PINARES, BLOQUE 4",SANTIAGO DE COMPOSTELA,A CORUÑA,15701,32458330-V,981-155-588,981-155-600,685-754-680,981-155-600,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
4,DAVID MOSQUERA FERNÁNDEZ,"AV. DE LAS ALEGRÍAS, 212",MADRID,MADRID,28008,33154005-B,912-851-325,912-851-340,666-855-155,912-851-340,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
5,MARTA MALLO MALLO,AV/ DE HÉRCULES,PUENTEDEUME,A CORUÑA,15600,35152874-L,981-252-528,981-252-686,687-486-311,981-252-686,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
6,CARLOS HERNÁNDEZ CARBONELL,"CL/ COSO, 15",MADRID,MADRID,28009,32458166-Z,915-885-325,915-885-400,667-352-654,915-885-400,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
7,LAURA CARRASCO ORTIZ,"CL/ ROMA, 155",VIGO,PONTEVEDRA,36001,33870152-F,981-254-304,981-254-305,615-150-151,981-254-305,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
8,JUAN MANUEL CALLEJO MUÑIZ,"CL/ SOL, 20 - 1º",MADRID,MADRID,28010,33450747-F,917-150-787,917-257-320,687-657-155,917-257-320,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
9,ENRIQUE VÁZQUEZ AVILÉS,"AV/ GRAN CANARIA, 280",FERROL,A CORUÑA,15403,33150335-K,981-254-255,981-255-320,647-688-886,981-255-320,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
10,ROBERTO VALDÉS LÓPEZ,AV/ DE LA MARINA,MADRID,MADRID,28005,33485854-Q,915-854-802,915-802-803,687-684-659,915-802-803,,pruebas@despachoabogado.com,www.consultoriasoftware.com,NOTAS DEL COLABORARDOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL COLABORADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Alta,,
