id,codigo,email,principal,origen,estado,tipoEnvio,grupoEmailer
1,0,pruebas@despachoabogado.com,1,1,,,
2,1,pruebas@despachoabogado.com,1,1,,,
3,2,pruebas@despachoabogado.com,1,1,,,
4,3,pruebas@despachoabogado.com,1,1,,,
5,4,pruebas@despachoabogado.com,1,1,,,
6,5,pruebas@despachoabogado.com,1,1,,,
7,6,pruebas@despachoabogado.com,1,1,,,
8,7,pruebas@despachoabogado.com,1,1,,,
9,8,pruebas@despachoabogado.com,1,1,,,
10,9,pruebas@despachoabogado.com,1,1,,,
11,1,pruebas@despachoabogado.com,1,2,,,
12,2,pruebas@despachoabogado.com,1,2,,,
13,3,pruebas@despachoabogado.com,1,2,,,
14,4,pruebas@despachoabogado.com,1,2,,,
15,5,pruebas@despachoabogado.com,1,2,,,
16,6,pruebas@despachoabogado.com,1,2,,,
17,7,pruebas@despachoabogado.com,1,2,,,
18,8,pruebas@despachoabogado.com,1,2,,,
19,9,pruebas@despachoabogado.com,1,2,,,
20,10,pruebas@despachoabogado.com,1,2,,,
21,1,pruebas@despachoabogado.com,1,4,,,
22,2,pruebas@despachoabogado.com,1,4,,,
23,3,pruebas@despachoabogado.com,1,4,,,
24,4,pruebas@despachoabogado.com,1,4,,,
25,5,pruebas@despachoabogado.com,1,4,,,
26,6,pruebas@despachoabogado.com,1,4,,,
27,7,pruebas@despachoabogado.com,1,4,,,
28,8,pruebas@despachoabogado.com,1,4,,,
29,9,pruebas@despachoabogado.com,1,4,,,
30,10,pruebas@despachoabogado.com,1,4,,,
31,1,pruebas@despachoabogado.com,1,3,,,
32,2,pruebas@despachoabogado.com,1,3,,,
33,3,pruebas@despachoabogado.com,1,3,,,
34,4,pruebas@despachoabogado.com,1,3,,,
35,5,pruebas@despachoabogado.com,1,3,,,
36,6,pruebas@despachoabogado.com,1,3,,,
37,7,pruebas@despachoabogado.com,1,3,,,
38,8,pruebas@despachoabogado.com,1,3,,,
39,9,pruebas@despachoabogado.com,1,3,,,
40,10,pruebas@despachoabogado.com,1,3,,,
