icodpro,snombrepro,sdomiciliopro,spoblacionpro,sprovinciapro,scodpostalpro,snifpro,stelefonopro,sfaxpro,smovilpro,email,pagweb,telefono2,telefono3,notas,Nacionalidad,Perso1,Perso2,Perso3,Perso4,Perso5,Perso6,Perso7,Perso8,Perso9,Perso10,PersoNum1,PersoNum2,PersoNum3,PersoNum4,PersoNum5,PersoFecha1,PersoFecha2,PersoFecha3,PersoLogic1,PersoLogic2,PersoLogic3,PersoLogic4,PersoLogic5,PersoLogic6,cuentabanco,numcolegiado,sincronizar,sNombrePais,usuario_cloud_auto,idLexnet,partidoLexnet,estado,balerta,textoalerta,idColegioLexnet
1,SANDRA GARRIDO BLANCO,"AV/ DE CANTABRIA, 154",FERROL,A CORUÑA,15405,32405350-Y,981-357-010,981-357-015,615-008-484,pruebas@despachoabogado.com,www.mnprogram.com,981-357-015,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,24579875711861951646,,0,,True,,,Alta,,,
2,GUMERSINDO IGLESIAS MOSCOSO,AV/ DE LA CONSTITUCIÓN,SANTIAGO DE COMPOSTELA,A CORUÑA,15702,35400154-A,981-745-685,981-745-656,666-874-157,pruebas@despachoabogado.com,www.mnprogram.com,981-745-656,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,,,Alta,,,
3,FEDERICO PARDO VARELA,CL/ NIEBLA,LA CORUÑA,A CORUÑA,15005,32987078-H,881-891-580,881-891-585,615-850-125,pruebas@despachoabogado.com,www.mnprogram.com,881-891-585,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,65498416659849154564,,0,,True,,,Alta,,,
4,FRANCISCO JAVIER PRIETO CASAS,CL/ CUBA,BETANZOS,A CORUÑA,15300,33108795-L,981-851-565,981-851-570,655-450-610,pruebas@despachoabogado.com,www.mnprogram.com,981-851-570,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,,,Alta,,,
5,JUAN MANUEL MARTIN ESPADA,"CL/ FELIPE II, 185",LA CORUÑA,A CORUÑA,15010,35398710-P,981-292-500,981-292-600,690-158-987,pruebas@despachoabogado.com,www.mnprogram.com,981-292-600,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,25498765345165156156,,0,,True,,,Alta,,,
6,LIDIA PEDREIRA LORENZO,"PZ/ NUEVA, 120 BAJO",LA CORUÑA,A CORUÑA,15001,35874005-P,981-287-812,981-288-912,645-350-854,pruebas@despachoabogado.com,www.mnprogram.com,981-288-912,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,,,Alta,,,
7,OLGA MARÍA OTERO LAMAS,"AV/ DE CÁDIZ, 220",LA CORUÑA,A CORUÑA,15003,33208149-J,981-205-040,981-205-505,618-458-035,pruebas@despachoabogado.com,www.mnprogram.com,981-205-505,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,,,Alta,,,
8,BIBIANA LAGE ESTÉVEZ,"AV/ DE LOS CAÍDOS, 80",FERROL,A CORUÑA,15404,35008410-H,981-357-080,981-358-100,625-157-780,pruebas@despachoabogado.com,www.mnprogram.com,981-358-100,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,54646451618919898198,,0,,True,,,Alta,,,
9,ERNESTO FERREIRO SAMPEDRO,"CL/ CODO, 129",LA CORUÑA,A CORUÑA,15005,32255074-N,981-293-019,981-293-105,669-968-927,pruebas@despachoabogado.com,www.mnprogram.com,981-293-105,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,True,,,Alta,,,
10,BERTA PUENTE BOEDO,"CL/ OLVIDO, 35",SANTIAGO DE COMPOSTELA,A CORUÑA,15703,33740150-R,981-677-515,981-677-535,666-805-650,pruebas@despachoabogado.com,www.mnprogram.com,981-677-535,,NOTAS DEL PROCURADOR. AQUI PODREMOS ANOTAR CUALQUIER COMENTARIO RELATIVO AL PROCURADOR.,ESPAÑOLA,,,,,,,,,,,,,,,,,,,,,,,,,48798465115494946849,,0,,True,,,Alta,,,
